# Testes analiticos, nao cotacao nem previsao comercial.
# Base hipotetica: spread=25 bps, tarifa fixa=R$40 e carry=4 bps.
# IOF incerto: BENS_SERVICOS OUT=38 bps e ATIVOS_VIRTUAIS OUT=350 bps na base.
# Cada Ordem e uma posicao liquida; nao ha deducao adicional de autonetting.
# Cada semente representa uma carteira-ano sintetica de 365 dias.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,economia_base_bps,economia_piso_bps,economia_combinada_severa_bps,carry_break_even_base_bps,carry_break_even_piso_bps,spread_minimo_no_piso_bps
equilibrado,8,1,365,134,128.899558,51.818334,34.644492,161.617074,67.362933,0.000000
equilibrado,8,7,365,134,130.583190,51.231846,33.989208,163.038715,66.395833,0.000000
equilibrado,8,1,365,135,146.700663,48.895872,30.692715,173.240639,60.408530,0.000000
equilibrado,8,7,365,135,148.898297,49.158605,30.753197,173.888341,60.088445,0.000000
equilibrado,8,1,365,136,126.071035,49.796062,33.866890,170.203977,69.647938,0.000000
equilibrado,8,7,365,136,128.450331,47.760333,31.661544,171.556513,66.300773,0.000000
equilibrado,8,1,365,137,136.425574,63.240215,46.797047,178.232669,84.765734,0.000000
equilibrado,8,7,365,137,137.946499,63.783514,47.193598,178.616706,84.739034,0.000000
equilibrado,8,1,365,138,139.711743,40.471129,23.090773,172.808199,52.899672,0.000000
equilibrado,8,7,365,138,144.210013,39.494508,21.711477,174.297756,50.639106,0.000000
equilibrado,8,1,365,139,120.651822,47.868335,31.993532,163.604391,67.322678,0.000000
equilibrado,8,7,365,139,122.202158,47.141062,31.158697,164.567308,65.940914,0.000000
equilibrado,8,1,365,140,130.425015,44.429465,26.979893,160.962321,57.469436,0.000000
equilibrado,8,7,365,140,134.219059,44.304578,26.514785,162.439181,56.299436,0.000000
equilibrado,8,1,365,141,120.825406,32.939492,16.013093,153.903918,44.866892,0.000000
equilibrado,8,7,365,141,123.217660,32.612389,15.596551,156.068377,44.248395,0.000000
equilibrado,8,1,365,142,123.311735,40.316579,23.703794,159.876720,54.963650,0.000000
equilibrado,8,7,365,142,124.868466,40.113333,23.447313,161.340372,54.544760,0.000000
equilibrado,8,1,365,143,126.227484,40.545672,24.439449,168.580930,56.865226,0.000000
equilibrado,8,7,365,143,127.455252,40.668491,24.463925,169.173217,56.703560,0.000000
